index,OLID,notes,author,name,isbn,cover
1,OL71014W,,C.S. Lewis,The Great Divorce,9780060652951,6984074
2,OL71166W,,C.S. Lewis,Out of the Silent Planet,9780684823805,9321665
3,OL71163W,,C.S. Lewis,Perelandra,9780025708402,9186044
4,OL46241W,,Isaac Asimov,"I, Robot",9780553803709,12385229
5,OL46375W,,"Asimov, Robert Silverberg",The Positronic Man,9780385263429,10613027
6,OL27279528M,,Isaac Asimov,Nemesis,9782724269123,8761737
7,OL21046919M,,Isaac Asimov,The Caves of Steel,0553293400,14317492
8,OL46910930M,,Isaac Asimov,The Naked Sun,9780449238059,13440804
9,OL46523209M,,Isaac Asimov,Robots of Dawn,9780345315717,13145622
10,OL10684930M,,Isaac Asimov,Robots & The Empire,9780345337696,12991819
11,OL27156137M,*,Paul Rosolie,Mother of God,9780062259516,12177088
12,OL43618750M,,Isaac Asimov,The Stars like Dust,9780765319159,13440807
13,OL47314631M,,Isaac Asimov,The Currents of Space,9780765319166,13790484
14,OL34843993M,,Franz Kafka,The Metamorphosis,9781619490048,14620492
15,OL7927774M,,C.S. Lewis,That Hideous Strength,9780743234924,472870
16,OL26798601M,,Isaac Asimov,Pebble in the Sky,9780345311962,13012383
17,OL38580945M,,Isaac Asimov,Prelude to Foundation,9782724246407,12816973
18,OL26839603M,*,Vladimir Lenin,"Imperialism, the Highest Stage of Capitalism",9781614271901,8516316
19,OL30909269M,,B. R. Ambedkar,Annihilation of Caste,9781074283759,10507557
20,OL27284158M,,Anthony Burgess,A Clockwork Orange,9781856132664,12393415
21,OL22503321M,,Isaac Asimov,Forward the Foundation,0553404881,13436155
22,OL51566464M,,Isaac Asimov,Foundation,9780553382570,14612980
23,OL43003836M,,Isaac Asimov,Foundation and Empire,9780380397013,13440818
24,OL7015993M,*,Miguel Cervantes,Don Quixote,9781587266171,14612692
25,OL797411M,,H. G. Wells,The Island of Doctor Moreau,0486290271,311919
26,OL28343252M,,H. G. Wells,The War of the Worlds,9780141026008,10291699
27,OL37751946M,,H. G. Wells,The Time Machine,9789176371381,12665576
28,OL7219307M,,H. G. Wells,The Sleeper Awakes,9780141441061,5690244
29,OL33914675M,,James A. Corey,Leviathan Wakes,9780356517162,12429278
30,OL26318318M,,James A. Corey,Caliban's War,9781841499901,7992547
31,OL32667355M,,James A. Corey,Abaddon’s Gate,9780316129077,11295171
32,OL6790043M,,H. G. Wells,The World Set Free,080329820X,574888
33,OL6947922M,,H. G. Wells,The First Men in the Moon,0192828282,9043083
34,OL47314617M,,Isaac Asimov,Second Foundation,9780008117511,13790336
35,OL26851399M,,Isaac Asimov,Foundation’s Edge,9780008117528,13145594
36,OL31977870M,,Philip K Dick,The Man in the High Castle,9780544817289,10654426
37,OL26811912M,,Han Kang,The Vegetarian,9780553448191,8469702
38,OL7883219M,*,Isaac Asimov,Foundation and Earth,9780586071106,14637490
39,OL39394632M,,Han Kang,Greek Lessons,9780593595275,13911444
40,OL4477537M,,Homer,The Illiad,9781324001805,10055680
41,OL35741459M,,Homer,The Odyssey,9780131830752,12490894
42,OL1271440M,,Albert Camus,The First Man,0679439374,8260905
43,OL39800428M,,Fyodor Dostoyevsky,The Brothers Karamazov,9780852291634,12915267
44,OL6974856M,,Fyodor Dostoyevsky,The Idiot,9781862075931,9412225
45,OL24214908M,,Albert Camus,The Myth of Sisyphus,0679733736,6542660
46,OL45634974M,,James Joyce,Ulysses,9798682325047,13136678
47,OL50722096M,,Chandrachur Ghose,India: The Birth of a Republic,9780670097104,0
48,OL27055552M,,Joseph Menn,Cult of the Dead Cow,9781541762381,8672071
49,OL1007546M,*,"Michael Riordan, Lillian Hoddeson",Crystal Fire,0393041247,247151
50,OL25898036M,,Andrew Roberts,Napoleon,9788490613214,7401169
