index,notes,author,name,isbn
1,,C.S. Lewis,The Great Divorce,9780060652951
2,,C.S. Lewis,Out of the Silent Planet,9780684823805
3,,C.S. Lewis,Perelandra,9780025708402
4,,Isaac Asimov,"I, Robot",9780553803709
5,,"Asimov, Robert Silverberg",The Positronic Man,9780385263429
6,,Isaac Asimov,Nemesis,9782724269123
7,,Isaac Asimov,The Caves of Steel,0553293400
8,,Isaac Asimov,The Naked Sun,9780449238059
9,,Isaac Asimov,Robots of Dawn,9780345315717
10,,Isaac Asimov,Robots & The Empire,9780345337696
11,*,Paul Rosolie,Mother of God,9780062259516
12,,Isaac Asimov,The Stars like Dust,9780765319159
13,,Isaac Asimov,The Currents of Space,9780765319166
14,,Franz Kafka,The Metamorphosis,9781619490048
15,,C.S. Lewis,That Hideous Strength,9780743234924
16,,Isaac Asimov,Pebble in the Sky,9780345311962
17,,Isaac Asimov,Prelude to Foundation,9782724246407
18,*,Vladimir Lenin,"Imperialism, the Highest Stage of Capitalism",9781614271901
19,,B. R. Ambedkar,Annihilation of Caste,9781074283759
20,,Anthony Burgess,A Clockwork Orange,9781856132664
21,,Isaac Asimov,Forward the Foundation,0553404881
22,,Isaac Asimov,Foundation,9780553382570
23,,Isaac Asimov,Foundation and Empire,9780380397013
24,*,Miguel Cervantes,Don Quixote,9781587266171
25,,H. G. Wells,The Island of Doctor Moreau,0486290271
26,,H. G. Wells,The War of the Worlds,9780141026008
27,,H. G. Wells,The Time Machine,9789176371381
28,,H. G. Wells,The Sleeper Awakes,9780141441061
29,,James A. Corey,Leviathan Wakes,9780356517162
30,,James A. Corey,Caliban's War,9781841499901
31,,James A. Corey,Abaddon’s Gate,9780316129077
32,,H. G. Wells,The World Set Free,080329820X
33,,H. G. Wells,The First Men in the Moon,0192828282
34,,Isaac Asimov,Second Foundation,9780008117511
35,,Isaac Asimov,Foundation’s Edge,9780008117528
36,,Philip K Dick,The Man in the High Castle,9780544817289
37,,Han Kang,The Vegetarian,9780553448191
38,*,Isaac Asimov,Foundation and Earth,9780586071106
39,,Han Kang,Greek Lessons,9780593595275
40,,Homer,The Illiad,9781324001805
41,,Homer,The Odyssey,9780131830752
42,,Albert Camus,The First Man,0679439374
43,,Fyodor Dostoyevsky,The Brothers Karamazov,9780852291634
44,,Fyodor Dostoyevsky,The Idiot,9781862075931
45,,Albert Camus,The Myth of Sisyphus,0679733736
46,,James Joyce,Ulysses,9798682325047
47,,Chandrachur Ghose,India: The Birth of a Republic,9780670097104
48,,Joseph Menn,Cult of the Dead Cow,9781541762381
49,*,"Michael Riordan, Lillian Hoddeson",Crystal Fire,0393041247
50,,Andrew Roberts,Napoleon,9788490613214
