index,notes,author,name,isbn
1,*,Paul Kalanithi,When Breath becomes Air,9780812988406
2,,Lynne Murphy,The Prodigal Tongue,9781977303356
3,,David Graeber,Bullshit Jobs,9781501143335
4,,James Comey,A Higher Loyalty,9781529003130
5,,Siddhartha Mukherjee,The Song of the Cell,9781982117375
6,,Michael Lewis,The Undoing Project,9781410496454
7,,Eliot Higgins,We are Bellingcat,9781635577303
8,,Sebastian Mallaby,The Power Law,9780525559993
9,*,Siddhartha Mukherjee,The Emperor of all Maladies,9781439107959
10,,Gregory Zuckerman,The Man Who Solved the Market,9780241981344
11,,"Adam Rutherford, Hannah Fry",Rutherford & Fry's Complete Guide to Absolutely Everything,9780393881578
12,,Steven Pinker,Rationality,9780525561996
13,,Nathan Lents,Human Errors,9781684413324
14,,Shoshana Zuboff,The Age of Surveillance Capitalism,9781610395694
15,,Nicolas Nissim Taleb,Skin in the Game,9780241300657
16,,Dalai Lama,Freedom in Exile,9780349104621
17,,Burton Malkiel,A Random Walk Down Wall Street,9780393320404
18,,Robert Greene,48 Rules of Power,0140280197
19,,Jonathan Haidt,The Righteous Mind,9780307377906
20,,Ginni Rometty,Good Power,9781647823221
21,,Nick Lane,The Vital Question,9781781250372
22,,Randall Munroe,What If? 2,9780525537113
23,*,Chelsea Manning,Readme.txt,9781250872449
24,,Bjorn Lomborg,False Alarm,9781541647473
25,,James Scott,Rampage,9780393357561
26,,Bogdanich & Forsythe,When McKinsey comes to Town,9780385546232
27,,Zohar & Mishal,Mossad,9780062123411
28,*,Bjorn Lomborg,The Skeptical Environmentalist,9780521010689
29,,Sokal & Bricmont,Fashionable Nonsense,9780312204075
30,,Seth Stephens-Davidowitz,Don't Trust Your Gut,9781526605092
31,,Raghuram Rajan,The Third Pillar,9780525558316
32,,Hayao Miyazaki,Turning Point,9781421560908
33,,Walter Isaacson,Einstein: His Life and Universe,9780739489031
34,,Hussain Zaidi,Dongri to Dubai,9788174368942
35,,Molly Bloom,Molly’s Game,9780062838582
36,,Adam Rutherford,A Brief History of Everyone Who Ever Lived,9780297609377
37,,Dubner and Levitt,Freakonomics,9780060731328
38,,Jocko Willink,Extreme Ownership,9781250270962
39,,Immanuel Kant,Metaphysics of Morals,9781434605160
40,,Friedrich Nietzsche,God is Dead. God Remains Dead. And We Have Killed Him,9780241472842
41,,Harish Bhat,#Tatastories,9780670095322
42,,Gene Kranz,Failure Is Not an Option,9780743214476
43,,Frans de Waal,Are We Smart Enough to Know How Smart Animals Are,9781504712217
44,,Matthew Black,Operation Underworld,9780806542164
45,,Jonn Elledge,A History of the World in 47 Borders,9781891011573
46,,Roger Penrose,The Road to Reality,9780099440680
47,,Plato,Republic,9781534626911
48,,Serhii Plokhy,The Last Empire,9780465056965
49,*,Benjamin Graham,The Intelligent Investor,9780062312686
50,,Malcom Gladwell,Revenge of the Tipping Point,9780316575805
